epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.35,0.47832,0.59698,0.83264,0.99627,0.99483,0.99499,0.90209,0.49782,0.24268,0.82495,0.0705357,0.00327381,0.00327381
2,352.158,0.46133,0.26234,0.82557,0.99753,0.99335,0.99499,0.91116,0.49291,0.2463,0.82044,0.0392275,0.00529893,0.00529893
3,511.842,0.46415,0.25959,0.82451,0.99556,0.99287,0.99498,0.90432,0.52004,0.25027,0.82592,0.00659929,0.00600405,0.00600405
4,657.39,0.46192,0.25401,0.82519,0.9984,0.99483,0.99499,0.91099,0.49978,0.23667,0.82586,0.00406,0.00406,0.00406
5,815.919,0.4577,0.24058,0.82699,1,0.9948,0.995,0.91042,0.47837,0.22664,0.82174,0.00208,0.00208,0.00208
