epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2198.31,0.86442,0.37067,0.85754,0.99747,1,0.99431,0.79386,0.84013,0.34324,0.84472,0.005743,0.005743,0.005743
45,2248.61,0.87276,0.37197,0.86113,0.99752,1,0.99401,0.79544,0.82884,0.32999,0.8418,0.005644,0.005644,0.005644
46,2298.32,0.86209,0.37047,0.8577,0.99764,0.99922,0.99404,0.78995,0.84964,0.34082,0.84913,0.005545,0.005545,0.005545
47,2345.7,0.85648,0.36523,0.85775,0.99686,0.99898,0.99404,0.79055,0.84514,0.32821,0.84628,0.005446,0.005446,0.005446
48,2395.72,0.85054,0.36176,0.85641,0.99686,0.99953,0.99467,0.79873,0.82625,0.32579,0.84401,0.005347,0.005347,0.005347
49,2445.65,0.84313,0.36118,0.85229,0.99643,1,0.9938,0.78996,0.84585,0.3282,0.84791,0.005248,0.005248,0.005248
50,2499.82,0.83899,0.35765,0.85296,0.99764,0.99913,0.99433,0.79478,0.81233,0.32072,0.83771,0.005149,0.005149,0.005149
51,2548.57,0.82993,0.35498,0.84718,0.99734,0.99921,0.99419,0.77887,0.87801,0.34466,0.85052,0.00505,0.00505,0.00505
52,2598.27,0.83121,0.35379,0.8475,0.99829,1,0.99449,0.80024,0.81078,0.31344,0.83682,0.004951,0.004951,0.004951
53,2648.18,0.83261,0.35488,0.8492,0.99764,0.99993,0.99456,0.79617,0.79489,0.31409,0.83533,0.004852,0.004852,0.004852
54,2698.81,0.82527,0.35126,0.84952,0.99778,1,0.99455,0.79888,0.79337,0.31495,0.83811,0.004753,0.004753,0.004753
55,2748.12,0.80612,0.34241,0.84583,0.99843,0.99995,0.99408,0.80369,0.78526,0.30798,0.83334,0.004654,0.004654,0.004654
56,2799.21,0.81827,0.34922,0.84716,0.99677,1,0.99471,0.80366,0.79391,0.31399,0.84347,0.004555,0.004555,0.004555
57,2848.62,0.81567,0.34626,0.84789,0.99764,0.99988,0.99423,0.79214,0.82005,0.32426,0.83754,0.004456,0.004456,0.004456
58,2895.67,0.8064,0.34237,0.84461,0.99809,0.99921,0.9947,0.81229,0.75396,0.30025,0.82216,0.004357,0.004357,0.004357
59,2943.88,0.7981,0.33854,0.84237,0.99764,0.99996,0.99384,0.80249,0.78629,0.30791,0.83033,0.004258,0.004258,0.004258
60,2991,0.80001,0.34007,0.84422,0.99749,1,0.99456,0.80877,0.77495,0.29957,0.82733,0.004159,0.004159,0.004159
61,3040.06,0.80131,0.33861,0.8436,0.99756,1,0.99475,0.81586,0.74239,0.29817,0.82209,0.00406,0.00406,0.00406
62,3088.09,0.78372,0.33342,0.84073,0.99764,1,0.99445,0.8112,0.76128,0.29269,0.82762,0.003961,0.003961,0.003961
63,3136.89,0.78092,0.33155,0.83858,0.99815,1,0.99485,0.81302,0.76923,0.30136,0.82817,0.003862,0.003862,0.003862
64,3184.88,0.77825,0.33113,0.83965,0.99921,0.99907,0.99495,0.81291,0.75904,0.29105,0.82515,0.003763,0.003763,0.003763
65,3235.24,0.77398,0.32627,0.83856,0.9976,1,0.99462,0.8203,0.74989,0.28813,0.82422,0.003664,0.003664,0.003664
66,3286.6,0.77149,0.32953,0.83701,0.99843,0.99972,0.99494,0.82104,0.73883,0.29115,0.82145,0.003565,0.003565,0.003565
67,3336.11,0.75692,0.3218,0.83745,0.99835,0.99921,0.99483,0.81702,0.74228,0.2823,0.82348,0.003466,0.003466,0.003466
68,3386.01,0.75813,0.3211,0.83491,0.99912,1,0.995,0.81773,0.74739,0.29373,0.82336,0.003367,0.003367,0.003367
69,3433.26,0.75565,0.32135,0.83485,0.99944,1,0.995,0.8197,0.74456,0.28662,0.82075,0.003268,0.003268,0.003268
70,3481.6,0.75473,0.31912,0.83593,0.99826,1,0.995,0.82061,0.74325,0.28994,0.82422,0.003169,0.003169,0.003169
71,3531.25,0.74781,0.31757,0.8317,1,0.99992,0.995,0.82765,0.71777,0.27889,0.81779,0.00307,0.00307,0.00307
72,3580.88,0.74191,0.31459,0.83433,0.99911,1,0.995,0.82761,0.72542,0.28202,0.81899,0.002971,0.002971,0.002971
73,3632.6,0.74098,0.3147,0.83296,0.99903,1,0.995,0.8233,0.74069,0.28362,0.82141,0.002872,0.002872,0.002872
74,3683.5,0.73052,0.30982,0.83225,0.99921,1,0.99492,0.8296,0.72638,0.28008,0.8198,0.002773,0.002773,0.002773
75,3732.97,0.72918,0.30869,0.83215,0.99843,0.9991,0.995,0.82903,0.71828,0.27965,0.81751,0.002674,0.002674,0.002674
76,3781.18,0.71954,0.30515,0.82934,0.99838,1,0.99487,0.8319,0.70733,0.27463,0.81396,0.002575,0.002575,0.002575
77,3828.98,0.7236,0.30663,0.82776,0.99986,1,0.995,0.83451,0.68566,0.27189,0.81034,0.002476,0.002476,0.002476
78,3878.09,0.71629,0.30398,0.82885,0.99993,1,0.995,0.8282,0.7101,0.27651,0.81532,0.002377,0.002377,0.002377
79,3924.15,0.71841,0.30482,0.827,0.99992,1,0.995,0.82751,0.71056,0.2712,0.81611,0.002278,0.002278,0.002278
80,3974.5,0.71903,0.304,0.82947,0.99892,1,0.995,0.83383,0.69289,0.27146,0.81175,0.002179,0.002179,0.002179
81,4026.09,0.70556,0.29605,0.82724,0.99993,1,0.995,0.8383,0.6829,0.26604,0.81134,0.00208,0.00208,0.00208
82,4077.41,0.71283,0.2981,0.82838,0.99915,1,0.995,0.83837,0.67367,0.26415,0.80897,0.001981,0.001981,0.001981
83,4128.18,0.69456,0.29449,0.82418,0.99956,1,0.995,0.83655,0.68115,0.26256,0.81163,0.001882,0.001882,0.001882
84,4177.11,0.69657,0.29323,0.82442,0.99832,1,0.995,0.83734,0.69166,0.26869,0.81291,0.001783,0.001783,0.001783
85,4223.99,0.6891,0.29108,0.82156,0.99841,1,0.995,0.8404,0.68612,0.27198,0.81287,0.001684,0.001684,0.001684
86,4272.98,0.68945,0.28977,0.82246,0.99909,0.99921,0.995,0.83686,0.68164,0.26016,0.81207,0.001585,0.001585,0.001585
87,4322.33,0.68351,0.28717,0.82354,0.99837,0.99921,0.995,0.84256,0.67139,0.26062,0.80942,0.001486,0.001486,0.001486
88,4372.3,0.6754,0.28544,0.8194,0.99843,1,0.995,0.84173,0.67023,0.26295,0.80769,0.001387,0.001387,0.001387
